Erro/Duvida,Como Fazer:,Contexto / Quando acontece,Criado em,Foto do erro,Resolução (passo a passo),Sistema,Tags,Última edição
IE do destinatário inválida,,Erro em Nota do sgnfe,16 de abril de 2026 15:24,,Acessar o Sintegra → Consultar a IE correta do destinatário→Atualizar no sistema substituindo a antiga,SGNFE,,17 de abril de 2026 08:10
MDF-e não encerrado para esta placa,,Manifesto com placa ja existe,16 de abril de 2026 15:25,,"Acessar o SGNFe
Localizar o MDF-e pela placa do veículo
Solicitar o encerramento do documento",SGNFE,,17 de abril de 2026 08:10
Total do frete difere do somatório dos itens,,Erro em nota do SGNFE,16 de abril de 2026 15:28,,"Verificar o valor do frete
Ajustar o valor total da nota
Conferir nas tabelas: VALORTOTAL e FRETEVL
Esse erro ocorre quando o frete não foi somado corretamente",SGNFE,,17 de abril de 2026 08:10
CST do IPI incompatível com o código de enquadramento,,Erro ao enviar uma NF,16 de abril de 2026 15:36,,"Acessar a tabela NFVENDAITEM
Alterar o campo IPICST para 99",SGNFE,,17 de abril de 2026 08:10
Estoque com lote duplicado,,Quando um Lote estiver Duplicado,16 de abril de 2026 15:37,,"Identificar o lote duplicado
Ajustar removendo a duplicidade (dar baixa no excedente)[dar o menos]",SCG-win,,17 de abril de 2026 08:10
Total do PIS/ipi difere do somatório dos itens sujeitos ao ICMS,,Erro ao enviar uma NF,16 de abril de 2026 15:38,,"Acessar o campo PISCST
Alterar todos os registros para 07",SGNFE,,12 de junho de 2026 10:22
Carta de Correção,Abra o SGNFE  e navegue ate a aba Carta de correção preencha os dados nescessarios e clique em enviar.,,16 de abril de 2026 15:57,,,,Onde ir Para fazer X,17 de abril de 2026 16:41
Conjunto nfc-e transmitidas excedido.,,Erro ao enviar cupom(Agilis),17 de abril de 2026 08:09,,Bastar dar duplo click(Reenviar o cupom),Ágilis,,17 de abril de 2026 08:10
Falha na validação dos dados da nota,,Erro ao enviar nf,17 de abril de 2026 16:40,,"Ir e nfvenda item era pra ter sido tirado como venda presencial, pra ajeitar pedi ajuda a cristiano e  substitui o icms e cfop para presencial",SGNFE,,17 de abril de 2026 16:40
" CSOSN incompativel na operacao com Nao Contribuinte [nItem:1]",,,17 de abril de 2026 17:04,,"alterar o campo cst ",SGNFE,,17 de abril de 2026 17:06
Soma do valor das parcelas difere do Valor Liquido da Fatura,,NF presa,29 de abril de 2026 08:13,,"Ir em CONTA , na parte DT venciment e alterar as datas para depois do dia de hoje(não pode ficar de dia anterior nem o dia de hoje tem que ser um dia depois)
se a data tiver ok, ir no xml da nota pegar o valor em vlliq e ir em conta, alterar onde tem valor.",SGNFE,,12 de junho de 2026 08:48
007 - Registro não pode ser vinculado(nota de entrada),,"Ao gravar na tela de vencimentos, aparece o erro 007 registro nãopode ser vinculado(pois o campo centro de custo ta em branco)",11 de maio de 2026 09:14,Erros%20e%20Resolu%C3%A7%C3%B5es/erro007.png,Solicite ao cliente que aperte enter para que o campo de centro de custo apareça,SCG-win,,11 de maio de 2026 09:20
Erro ao logar no maxsale/mob,,"email e senha corretos, porem não acessa",11 de maio de 2026 09:23,,"verifique se está realmente cadastrado, verifique a validade da senha no retaguarda!",MaxSale/mob,,22 de maio de 2026 15:35
